date,name,code,open,high,low,close,volume,turnover,turnover_rate,pos_p(mean),pos_p(median)
2021/12/10,创业板指,399006,3431.29,3485.08,3429.57,3466.8,131223519,2.64E+11,3.05,0.276441799,0.0584
2021/12/13,创业板指,399006,3473.39,3508.19,3457.54,3496.96,143239654,2.70E+11,3.33,0.33905,0.12365
2021/12/14,创业板指,399006,3491.82,3507.27,3486.91,3495.06,156779354,2.75E+11,3.65,0.39988855,0.3084
2021/12/15,创业板指,399006,3492.58,3520.47,3462.51,3464.76,159256018,2.82E+11,3.7,0.35331413,0.1345
2021/12/16,创业板指,399006,3479.18,3491.18,3467.73,3490.45,153450440,2.72E+11,3.57,0.392629907,0.1744
2021/12/17,创业板指,399006,3480.51,3486.24,3427.02,3434.34,164781829,2.89E+11,3.83,0.283626568,0.0668
2021/12/20,创业板指,399006,3420.86,3434.09,3327.79,3332.61,149900129,2.65E+11,3.49,0.313336275,0.0963
2021/12/21,创业板指,399006,3328.89,3354.92,3306.96,3350.43,138275569,2.24E+11,3.22,0.287017204,0.0977
2021/12/22,创业板指,399006,3360.28,3379.08,3354.38,3368.7,153185964,2.44E+11,3.56,0.311944526,0.0654
2021/12/23,创业板指,399006,3379.81,3389.85,3358.92,3373.7,137255777,2.33E+11,3.19,0.345478981,0.1453
2021/12/24,创业板指,399006,3381.54,3384.29,3280.94,3297.11,148551196,2.53E+11,3.46,0.271304398,0.064
2021/12/27,创业板指,399006,3296.41,3315.75,3273.82,3293.81,128810644,2.10E+11,3,0.309508145,0.0799
2021/12/28,创业板指,399006,3300.31,3331.32,3280.07,3328.56,133601610,2.27E+11,3.11,0.361328324,0.1353
2021/12/29,创业板指,399006,3326.08,3326.21,3281.9,3281.9,129301801,2.22E+11,3.01,0.336137966,0.15
2021/12/30,创业板指,399006,3285.77,3339.65,3280.31,3322.79,149972058,2.43E+11,3.49,0.369718987,0.1714
2021/12/31,创业板指,399006,3342.19,3353.57,3315.07,3322.67,144676877,2.39E+11,3.37,0.393270485,0.2289
2022/1/4,创业板指,399006,3348.13,3349.45,3238.24,3250.16,177664374,2.98E+11,4.13,0.325242814,0.10095
2022/1/5,创业板指,399006,3242.44,3245.76,3145.05,3161.51,177659988,2.97E+11,4.13,0.330810099,0.12515
2022/1/6,创业板指,399006,3133.05,3150.11,3093.04,3127.48,156512904,2.58E+11,3.64,0.323996174,0.0995
2022/1/7,创业板指,399006,3137.07,3147.23,3093.21,3096.88,161234396,2.65E+11,3.75,0.264725717,0.0574
2022/1/10,创业板指,399006,3082.78,3115.47,3051.53,3095.69,131560261,2.31E+11,3.06,0.292527434,0.0816
2022/1/11,创业板指,399006,3094.7,3103.83,3050.59,3056.15,136094723,2.35E+11,3.17,0.262629577,0.0655
2022/1/12,创业板指,399006,3091.67,3139.38,3088.78,3136.69,134519227,2.46E+11,3.13,0.33199157,0.1318
2022/1/13,创业板指,399006,3145.02,3145.02,3083.14,3083.14,143819131,2.48E+11,3.35,0.295837759,0.087
2022/1/14,创业板指,399006,3059.14,3128.25,3057.94,3119.41,158501819,2.71E+11,3.69,0.250108267,0.0609
2022/1/17,创业板指,399006,3124.63,3176.24,3113.98,3170.41,179115594,3.10E+11,4.17,0.339728502,0.1113
2022/1/18,创业板指,399006,3168.79,3177.82,3136.25,3144.33,193728704,3.22E+11,4.51,0.261929648,0.07
2022/1/19,创业板指,399006,3139.23,3141.28,3052.65,3075.98,162485750,2.71E+11,3.78,0.265112992,0.0713
2022/1/20,创业板指,399006,3072.39,3102.31,3056.96,3065.99,170969272,2.84E+11,3.98,0.276899357,0.0444
2022/1/21,创业板指,399006,3052.98,3069.88,3020.3,3034.68,138642944,2.30E+11,3.23,0.25419346,0.0803
2022/1/24,创业板指,399006,3011.63,3071.06,3010.2,3056.43,116341870,2.02E+11,2.71,0.266637815,0.0881
2022/1/25,创业板指,399006,3035.82,3055.88,2974.96,2974.96,137955487,2.15E+11,3.21,0.269282492,0.0767
2022/1/26,创业板指,399006,2993.16,3008.38,2952.91,3004.41,104776238,1.77E+11,2.44,0.26505392,0.0768
2022/1/27,创业板指,399006,2994,3001.55,2904.71,2906.76,116443558,1.91E+11,2.71,0.254335466,0.0682
2022/1/28,创业板指,399006,2945.72,2962.77,2882.67,2908.94,105431398,1.81E+11,2.45,0.283431954,0.0777
2022/2/7,创业板指,399006,2972.19,2987.5,2905.25,2917.86,104094572,1.72E+11,2.42,0.284754119,0.08795
2022/2/8,创业板指,399006,2913.32,2913.32,2782.28,2846.48,107192486,1.85E+11,2.49,0.27243968,0.0861
2022/2/9,创业板指,399006,2844.84,2887.73,2818.39,2883.6,127073175,2.04E+11,2.96,0.267860638,0.06445
2022/2/10,创业板指,399006,2891.3,2891.3,2796.9,2826.52,115864084,2.07E+11,2.7,0.253679812,0.0651
2022/2/11,创业板指,399006,2800.75,2811.78,2742.51,2746.38,123544637,2.11E+11,2.87,0.244586594,0.0602
2022/2/14,创业板指,399006,2723.51,2776.23,2710.88,2732.01,103137853,1.86E+11,2.4,0.258965531,0.08685
2022/2/15,创业板指,399006,2744.39,2817.81,2739.42,2816.44,101154952,1.85E+11,2.35,0.240433087,0.0604
2022/2/16,创业板指,399006,2829.65,2841.33,2808.27,2818.4,105677435,1.86E+11,2.46,0.260300549,0.0787
2022/2/17,创业板指,399006,2813.48,2861.97,2804.89,2839.83,125136942,2.12E+11,2.91,0.280072527,0.0872
2022/2/18,创业板指,399006,2819.55,2829.82,2803.24,2826.81,107503657,1.87E+11,2.5,0.270274902,0.085
2022/2/21,创业板指,399006,2830.6,2836.28,2794.26,2804.6,138332756,2.28E+11,3.22,0.290704015,0.0893
2022/2/22,创业板指,399006,2783.28,2783.28,2741.97,2765.91,140269801,2.35E+11,3.26,0.252795285,0.0768
2022/2/23,创业板指,399006,2770.21,2845.08,2770.21,2843.87,141077453,2.55E+11,3.28,0.2593276,0.07695
2022/2/24,创业板指,399006,2817.8,2852.72,2746.62,2783.9,194823613,3.17E+11,4.53,0.258940198,0.0632
2022/2/25,创业板指,399006,2827.83,2882.07,2827.83,2855.8,130211028,2.36E+11,3.03,0.254691212,0.07965
2022/2/28,创业板指,399006,2844.82,2881.31,2834.54,2881.31,118207475,2.11E+11,2.75,0.26496,0.09825
2022/3/1,创业板指,399006,2895.39,2905.13,2865.88,2885.79,119441818,2.18E+11,2.78,0.364091358,0.22345
2022/3/2,创业板指,399006,2866.69,2866.69,2811.12,2834.64,120817661,2.09E+11,2.81,0.216453556,0.0301
2022/3/3,创业板指,399006,2850.67,2853.47,2789.51,2791.95,125794532,2.19E+11,2.93,0.242438158,0.05035
2022/3/4,创业板指,399006,2763.06,2797.82,2737.47,2748.64,133627597,2.31E+11,3.11,0.248771063,0.0692
2022/3/7,创业板指,399006,2718.44,2720.78,2620.83,2630.37,120078129,2.18E+11,2.79,0.2619151,0.0705
2022/3/8,创业板指,399006,2645.11,2654.64,2567.91,2582.99,136251822,2.40E+11,3.17,0.237186318,0.056
2022/3/9,创业板指,399006,2594.96,2608.21,2462.17,2566.72,143749752,2.45E+11,3.34,0.246037967,0.0611
2022/3/10,创业板指,399006,2645.36,2664.58,2625.6,2635.19,138444365,2.54E+11,3.22,0.243767887,0.0808
2022/3/11,创业板指,399006,2589.7,2668.24,2566.03,2665.46,138711255,2.47E+11,3.23,0.26852161,0.0774
2022/3/14,创业板指,399006,2638.49,2647.25,2570.28,2570.45,127249772,2.32E+11,2.96,0.241577283,0.0586
2022/3/15,创业板指,399006,2547.72,2615.71,2504.78,2504.78,139790915,2.48E+11,3.25,0.253581427,0.0689
2022/3/16,创业板指,399006,2549.15,2639.93,2478.44,2635.08,154177669,2.82E+11,3.59,0.304110045,0.0936
2022/3/17,创业板指,399006,2684.84,2764.25,2684.04,2710.73,171330127,3.27E+11,3.99,0.265689918,0.0776
2022/3/18,创业板指,399006,2693.15,2725.69,2668.93,2713.79,138496952,2.36E+11,3.22,0.234510458,0.0579
2022/3/21,创业板指,399006,2730.21,2756.35,2702.18,2726.18,144461358,2.44E+11,3.36,0.304524084,0.131
2022/3/22,创业板指,399006,2718,2718,2676.84,2688.23,134501338,2.22E+11,3.13,0.21099662,0.0378
2022/3/23,创业板指,399006,2707.57,2725.56,2682.13,2715.95,124740713,2.07E+11,2.9,0.229492593,0.05045
2022/3/24,创业板指,399006,2697.43,2725.28,2655.92,2706.21,119781878,2.01E+11,2.79,0.187825926,0.0383
2022/3/25,创业板指,399006,2702.65,2714.15,2637.94,2637.94,115519788,1.94E+11,2.69,0.22241635,0.04515
2022/3/28,创业板指,399006,2622.47,2622.59,2576.23,2594.13,106819512,1.80E+11,2.48,0.197258273,0.0367
2022/3/29,创业板指,399006,2603.42,2633.45,2581.38,2592.67,109982339,1.80E+11,2.56,0.247757527,0.05565
2022/3/30,创业板指,399006,2612.71,2696.83,2610.41,2696.83,107478221,1.91E+11,2.5,0.217386452,0.0498
2022/3/31,创业板指,399006,2683.19,2686.28,2646.24,2659.49,120775688,2.05E+11,2.81,0.20176087,0.0398
2022/4/1,创业板指,399006,2641.75,2687.15,2632.98,2666.97,118863503,1.88E+11,2.77,0.226886007,0.0494
2022/4/6,创业板指,399006,2662.28,2662.62,2615.92,2633.91,115767309,1.78E+11,2.69,0.213593396,0.0353
2022/4/7,创业板指,399006,2611.98,2632.1,2576.53,2578.53,116513848,1.79E+11,2.71,0.211669024,0.0375
2022/4/8,创业板指,399006,2578.74,2609.35,2546.51,2569.91,108805417,1.72E+11,2.53,0.196180903,0.03255
2022/4/11,创业板指,399006,2536.15,2536.15,2455.46,2462.04,108217475,1.73E+11,2.52,0.256842156,0.06605
2022/4/12,创业板指,399006,2461.6,2523.69,2459.26,2523.69,103760061,1.56E+11,2.41,0.233868659,0.0646
2022/4/13,创业板指,399006,2499.19,2513.47,2466.84,2466.84,104074890,1.56E+11,2.42,0.221036388,0.0419
2022/4/14,创业板指,399006,2495.16,2498.81,2443.15,2466.29,92386386,1.59E+11,2.15,0.231959597,0.0494
2022/4/15,创业板指,399006,2443.35,2483.75,2416.7,2460.36,101913692,1.63E+11,2.37,0.200378794,0.0387
2022/4/18,创业板指,399006,2435.85,2491.6,2410.86,2487.77,83293883,1.38E+11,1.94,0.253830979,0.0754
2022/4/19,创业板指,399006,2484.52,2510.41,2444.59,2453.55,84771292,1.41E+11,1.97,0.210966725,0.04415
2022/4/20,创业板指,399006,2440.3,2443.31,2357.91,2363.65,96710387,1.61E+11,2.25,0.221491399,0.0502
2022/4/21,创业板指,399006,2352.22,2378.34,2298.75,2312.46,104363067,1.59E+11,2.43,0.240076514,0.0606
2022/4/22,创业板指,399006,2299.16,2321.14,2279.78,2296.6,95141972,1.49E+11,2.21,0.2267126,0.04895
2022/4/25,创业板指,399006,2240.04,2262.77,2168.9,2169,121635218,1.72E+11,2.83,0.258892253,0.0669
2022/4/26,创业板指,399006,2172.8,2218.56,2149.6,2150.51,113775882,1.61E+11,2.65,0.229465892,0.0533
2022/4/27,创业板指,399006,2122.32,2271.17,2122.32,2269.17,124006331,1.84E+11,2.88,0.237775828,0.0568
2022/4/28,创业板指,399006,2249.51,2266.43,2206.96,2227.65,106755886,1.62E+11,2.48,0.208260589,0.0415
2022/4/29,创业板指,399006,2247.7,2322.97,2221.99,2319.14,124049347,1.92E+11,2.89,0.244336175,0.06975
2022/5/5,创业板指,399006,2263.92,2317.17,2242.96,2288.4,102798612,1.76E+11,2.39,0.209528877,0.0402
2022/5/6,创业板指,399006,2227.68,2274.39,2222.49,2244.97,97438679,1.47E+11,2.27,0.227906667,0.0488
2022/5/9,创业板指,399006,2236.17,2263.12,2213.58,2228.07,89802670,1.30E+11,2.09,0.225172642,0.0518
2022/5/10,创业板指,399006,2192.06,2287.87,2187.44,2276.35,101407905,1.62E+11,2.36,0.299055368,0.0901
2022/5/11,创业板指,399006,2280.96,2401.1,2275.27,2346.15,130449754,2.18E+11,3.03,0.268487445,0.0886
2022/5/12,创业板指,399006,2325.95,2367.31,2324.76,2351.27,101298872,1.54E+11,2.36,0.280417059,0.1106
2022/5/13,创业板指,399006,2367.55,2373.3,2334.37,2358.16,87124462,1.34E+11,2.03,0.259135178,0.0646
2022/5/16,创业板指,399006,2376.64,2395.75,2328.74,2331.23,92161554,1.39E+11,2.14,0.252574615,0.0779
2022/5/17,创业板指,399006,2335.12,2370.66,2323.07,2369.09,94186473,1.43E+11,2.19,0.253497059,0.0662
2022/5/18,创业板指,399006,2373.89,2384.6,2352.92,2365.38,96377812,1.40E+11,2.24,0.284349213,0.08325
2022/5/19,创业板指,399006,2329.96,2377.31,2325.67,2377.13,97363712,1.47E+11,2.27,0.310774499,0.1006
2022/5/20,创业板指,399006,2395.35,2426.58,2384.11,2417.35,101254474,1.58E+11,2.36,0.302491039,0.112
2022/5/23,创业板指,399006,2422.13,2423.79,2385.7,2410.12,99851346,1.49E+11,2.32,0.257107006,0.0529
2022/5/24,创业板指,399006,2404.6,2404.6,2316.79,2318.07,120189202,1.80E+11,2.8,0.208753054,0.0329
2022/5/25,创业板指,399006,2320.78,2332.96,2303.15,2325.6,87934858,1.31E+11,2.05,0.239161654,0.05245
2022/5/26,创业板指,399006,2329.43,2343.21,2283.44,2321.13,92064069,1.37E+11,2.14,0.30911122,0.06225
2022/5/27,创业板指,399006,2340.62,2377.4,2311.06,2322.48,91212882,1.36E+11,2.12,0.255221245,0.07145
2022/5/30,创业板指,399006,2338.35,2359.58,2323.82,2350.38,84634486,1.29E+11,1.97,0.283739306,0.0957
2022/5/31,创业板指,399006,2349.79,2411.18,2323.35,2405.08,101118564,1.59E+11,2.35,0.267990558,0.0741
2022/6/1,创业板指,399006,2403.35,2441.39,2395.97,2428.96,95981827,1.52E+11,2.23,0.275178475,0.0972
2022/6/2,创业板指,399006,2418.66,2463.35,2411.71,2458.26,97179110,1.58E+11,2.26,0.298669268,0.0986
2022/6/6,创业板指,399006,2456.16,2562.02,2455.95,2554.66,113564718,1.96E+11,2.64,0.283677037,0.0938
2022/6/7,创业板指,399006,2555.55,2575.89,2532.78,2554.63,112895854,1.82E+11,2.63,0.288626136,0.0811
2022/6/8,创业板指,399006,2558.15,2576.34,2507.11,2576.34,113003297,1.95E+11,2.63,0.252449747,0.0692
2022/6/9,创业板指,399006,2558.33,2561.41,2491.82,2500.21,101654751,1.60E+11,2.36,0.238483456,0.05925
2022/6/10,创业板指,399006,2482.31,2556.98,2481.96,2556.47,100860470,1.74E+11,2.35,0.315311667,0.1188
2022/6/13,创业板指,399006,2522.73,2563.24,2520,2546.49,109231777,1.81E+11,2.54,0.333554192,0.1384
